Location,City,RCM,Region,Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
Le Plateau-Mont-Royal,Montréal,Montréal,Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montréal Borough,100000,0
Le Sud-Ouest,Montréal,Montréal,Montréal,Le Sud-Ouest,Le Sud-Ouest,Montréal Borough,80000,0
Hochelaga-Maisonneuve,Montréal,Montréal,Montréal,Mercier-Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montréal Borough,135000,0
Ville de Mont-Royal,Montréal,Montréal,Montréal,Ville de Mont-Royal,Ville de Mont-Royal,Montréal Borough,20000,0
Ville-Marie,Montréal,Montréal,Montréal,Ville-Marie,Ville-Marie,Montréal Borough,90000,1
Montréal-Nord,Montréal,Montréal,Montréal,Montréal-Nord,Montréal-Nord,Montréal Borough,85000,0
Outremont,Montréal,Montréal,Montréal,Outremont,Outremont,Montréal Borough,25000,0
Pierrefonds-Roxboro,Montréal,Montréal,Montréal,Pierrefonds-Roxboro,Pierrefonds-Roxboro,Montréal Borough,70000,0
Rivière-des-Prairies-Pointe-aux-Trembles,Montréal,Montréal,Montréal,"[Rivière-des-Prairies-Pointe-aux-Trembles,Montréal-Est]",Rivière-des-Prairies-Pointe-aux-Trembles & Montréal-Est,Montréal Borough,110000,0
Montréal-Est,Montréal,Montréal,Montréal,"[Rivière-des-Prairies-Pointe-aux-Trembles,Montréal-Est]",Rivière-des-Prairies-Pointe-aux-Trembles & Montréal-Est,Montréal Borough,110000,0
Pointe-Claire,Montréal,Montréal,Montréal,Pointe-Claire,Pointe-Claire,Montréal Borough,35000,0
Rosemont-La Petite-Patrie,Montréal,Montréal,Montréal,Rosemont-La Petite-Patrie,Rosemont-La Petite-Patrie,Montréal Borough,140000,0
Saint-Laurent,Montréal,Montréal,Montréal,Saint-Laurent,Saint-Laurent,Montréal Borough,100000,0
Saint-Léonard,Montréal,Montréal,Montréal,Saint-Léonard,Saint-Léonard,Montréal Borough,80000,0
Senneville,Montréal,Montréal,Montréal,"[Senneville,Baie-D'Urfé,Sainte-Anne-de-Bellevue]","Senneville, Baie-D'Urfé & Saint-Anne-de-Bellevue",Montréal Borough,10000,0
Baie-D'Urfé,Montréal,Montréal,Montréal,"[Senneville,Baie-D'Urfé,Sainte-Anne-de-Bellevue]","Senneville, Baie-D'Urfé & Saint-Anne-de-Bellevue",Montréal Borough,10000,0
Sainte-Anne-de-Bellevue,Montréal,Montréal,Montréal,"[Senneville,Baie-D'Urfé,Sainte-Anne-de-Bellevue]","Senneville, Baie-D'Urfé & Saint-Anne-de-Bellevue",Montréal Borough,10000,0
Verdun,Montréal,Montréal,Montréal,Verdun,Verdun,Montréal Borough,70000,0
